site,url,widget_id,title,shape,doctype,html_open,head_open,body_open,rendered_sha256,source_archive_sha256,evidence
en,https://en.beautyblossom.kr/3D,w202508142439c2fd70cf5,EVE V MUSE 리포트 안내,partial_document,true,true,true,false,a3864833873df25c6eeb9f49afac36c8e2cad25d0e21a5c990a1bc3f392e678b,02dc43ba2e8832cc6496ee85bab0d35b3deb162e8c1a3ba373c3ee841b534305,pages/en/d36d0f5f6c230713.html.gz
en,https://en.beautyblossom.kr/55,w20250228b16ca6348b8fa,바디 부위별 시술 안내,partial_document,true,true,true,false,07eb157a1d6b0794ad286d642f29ca36b07dd8400b6d936f2f301319fd6b28ff,c97165581e5bb9f6b51e6aee9d22d53dd3840e9a59368bca15d82eee360c388c,pages/en/a0f27842ed7f943c.html.gz
en,https://en.beautyblossom.kr/65,w20250228eea2b33447d6d,3단계 필링 시스템,document_bundle,true,true,true,true,3254a55ce15c4acb6351147fc04e451ba3cd37884a538ba694b4a10fcc767848,1a876f681a7b7084bd8b7ebee877f5071db66b177d0a57321fb79f14e22f9667,pages/en/5a4266b155fbeb36.html.gz
en,https://en.beautyblossom.kr/67,w2025022810e0424ef1811,3단계 필링 시스템,document_bundle,true,true,true,true,2179691656ce82a619f71de805838a9161f38077109e5106d44455cbe02fb00f,07e56c737f70a3be5645508d4ba4d29d6a14172a650b60434ddbf093a46e975d,pages/en/7ef4addd94a078e1.html.gz
en,https://en.beautyblossom.kr/69,w20250228f47e2230682cb,여드름 종류와 특징,document_bundle,true,true,true,true,5bfde968f12b484ea85664695e6ed9473348f1eed46033d45176764b984a95f0,374bcff19b9c5ab8820433c4b5481fb7733cbcd921fb04c0c6e20eef69c14955,pages/en/86744e8b7ae78008.html.gz
en,https://en.beautyblossom.kr/73,w2025022823c61822ca74f,피코슈어,document_bundle,true,true,true,true,482e47d81274119fcc0b36108a13b28e8b209ab92b85fba36ab765ade64be6bf,15bac5d4b1ae01b9165a282bea9b978e1475f0e0ebb5de9c93bbbf88c98e3fda,pages/en/bad0d367343898ed.html.gz
en,https://en.beautyblossom.kr/99,w2025031977d746e59712f,Non-Sleep Gas Sedation Benefits,document_bundle,true,true,true,true,94185dbbbb5797fa6f7d3d03569826348d0f371288d852a6f201798feb55f060,91ee1aebaf7e3dd0c65c91099d8d7bd1ce940adef49157415a4afc85a90fda51,pages/en/bdd4f4173ec1f3d5.html.gz
en,https://en.beautyblossom.kr/99,w2025031991daaf836fb2f,Porter 웃음 진정기 특징,document_bundle,true,true,true,true,04b33bf7406314d669ce2e1428bb19ac1b5312c358750b6c4475c425f5f64b9b,91ee1aebaf7e3dd0c65c91099d8d7bd1ce940adef49157415a4afc85a90fda51,pages/en/bdd4f4173ec1f3d5.html.gz
en,https://en.beautyblossom.kr/99,w2025031973d9be96a95e9,Non-Sleep Gas Anesthesia Benefits,document_bundle,true,true,true,true,e0d54fa57d00fca5ef4e4d888996c96be7f3eae21f3b6aa89d08d16b1c4f444e,91ee1aebaf7e3dd0c65c91099d8d7bd1ce940adef49157415a4afc85a90fda51,pages/en/bdd4f4173ec1f3d5.html.gz
en,https://en.beautyblossom.kr/99,w202503194a704ff583091,Comparison of Sleep Sedation vs. Nitrous Oxide Sedation,document_bundle,true,true,true,true,29738a639e2f73d32ab6223157bc6854ba2182b367b6c2487d6adf3841e450d9,91ee1aebaf7e3dd0c65c91099d8d7bd1ce940adef49157415a4afc85a90fda51,pages/en/bdd4f4173ec1f3d5.html.gz
en,https://en.beautyblossom.kr/99,w20250319d17882c8b641d,Comparison of Gas Sedation Types,document_bundle,true,true,true,true,91dc4ebc07f0e4fe2021508e9a5019a5e780a0c4c59ffea0af24f1e1cd69f7f4,91ee1aebaf7e3dd0c65c91099d8d7bd1ce940adef49157415a4afc85a90fda51,pages/en/bdd4f4173ec1f3d5.html.gz
en,https://en.beautyblossom.kr/LDM,w2025081430f03872016f8,스컬트라 텍스트 박스,document_bundle,true,true,true,true,56957540018751ff1c59a6ed72750c97a70add593dc0bcdb9b801738082d5011,1e45ce9ab30651cd40e91c91484ad61a26f5c9518b6013a0fe7d8696c831a326,pages/en/e58cddb731926184.html.gz
en,https://en.beautyblossom.kr/Sculptra,w202508148011785b92451,비메오 영상 - 수정됨,document_bundle,true,true,true,true,43ae011ad77ce862feeb5ce7f32669ee61209cffa01d2d05d76deeb13da40d9e,154d1a385e2b4b886cb526a7629fa2fbeb3e808c93bfdb55cd36ec1de6eca0b2,pages/en/1be1ad54759cd58d.html.gz
en,https://en.beautyblossom.kr/Sculptra,w20250814d5fdf49d40543,스컬트라 텍스트 박스,document_bundle,true,true,true,true,b961df5078c225cfb84391e3ba429e311e6f8db6f5c5a0bff457f9f0cef72693,154d1a385e2b4b886cb526a7629fa2fbeb3e808c93bfdb55cd36ec1de6eca0b2,pages/en/1be1ad54759cd58d.html.gz
en,https://en.beautyblossom.kr/Sculptra,w20250814b43d82ef38f1e,비메오 영상 1,document_bundle,true,true,true,true,61ba1b717acec8abd5d7527fbc278f60c2e1783974d7e073273d8ca7e46d9252,154d1a385e2b4b886cb526a7629fa2fbeb3e808c93bfdb55cd36ec1de6eca0b2,pages/en/1be1ad54759cd58d.html.gz
